date,return,VaR_normal,VaR_t,exceed_normal,exceed_t
2024-01-02,-0.0170671426237207,-0.03808494990082634,-0.0744001567124674,0,0
2024-01-03,-0.010637891065186,-0.038159721709316426,-0.07451414981081243,0,0
2024-01-04,-0.0051597599796373,-0.03818959218337528,-0.07455801405520639,0,0
2024-01-05,0.0011854556089421,-0.038185621700353126,-0.07455235016752255,0,0
2024-01-08,0.0204572562827554,-0.038189603861513176,-0.07454426737597658,0,0
2024-01-09,0.0019735697450178,-0.038157616733144745,-0.0745451252202943,0,0
2024-01-10,0.0067547477837637,-0.03795438919756713,-0.07421111096860775,0,0
2024-01-11,0.0020786186845134,-0.037945651936747676,-0.07420814150635476,0,0
2024-01-12,0.0005128106825766,-0.037903204781795236,-0.07414978677754126,0,0
2024-01-16,-9.76651190249811e-05,-0.0379034759142409,-0.07415004198620788,0,0
2024-01-17,-0.005656819588844,-0.03790258102464354,-0.07411995135445673,0,0
2024-01-18,0.01409439955943,-0.037924334270032264,-0.07414425230238089,0,0
2024-01-19,0.0196370417069005,-0.037781664123372166,-0.0739402458723317,0,0
2024-01-22,0.0013049669187008,-0.037803209720460765,-0.07400767076887435,0,0
2024-01-23,0.0041408675455265,-0.03765909024154321,-0.0737764450291666,0,0
2024-01-24,0.0055340093209306,-0.03761283500251217,-0.07371484028318219,0,0
2024-01-25,0.0012204039579586,-0.03755429162921032,-0.07363571465093607,0,0
2024-01-26,-0.0059753933861239,-0.03738094652048364,-0.07335278224085064,0,0
2024-01-29,0.0101883714640775,-0.03740517069988642,-0.07338015383350667,0,0
2024-01-30,-0.0066786797467823,-0.03727092241618008,-0.07318165730219856,0,0
2024-01-31,-0.0197805564335684,-0.03728772076293279,-0.07320478961879565,0,0
2024-02-01,0.0117066085546353,-0.0373491568779143,-0.0733064620471313,0,0
2024-02-02,0.0167592868911148,-0.037273152181194084,-0.07312188738351473,0,0
2024-02-05,-0.0013061826810298,-0.037202580373238286,-0.07295634347727599,0,0
2024-02-06,-0.0020092126117114,-0.03721310977609049,-0.07296162302729413,0,0
2024-02-07,0.010237578849896,-0.03722533006013616,-0.07296639716708048,0,0
2024-02-08,0.0018502215644575,-0.03688667107360634,-0.07240288444191358,0,0
2024-02-09,0.0097948631027824,-0.036887023667750825,-0.07238339111964397,0,0
2024-02-12,-0.0039201578420335,-0.03685381027288495,-0.07235231624390073,0,0
2024-02-13,-0.0157199338317575,-0.03686984284375949,-0.07235510534148719,0,0
2024-02-14,0.010838340173505,-0.036918843244281005,-0.07238145535192832,0,0
2024-02-15,0.002973218104473,-0.03678966514714975,-0.07219302249459736,0,0
2024-02-16,-0.0091090383457457,-0.03656630266958946,-0.07182354611345103,0,0
2024-02-20,-0.0075767380677467,-0.03660002685672658,-0.07186982891326109,0,0
2024-02-21,-0.0040098149330995,-0.036588558518961645,-0.07178675063525582,0,0
2024-02-22,0.0288553865984804,-0.036598759025499375,-0.0717995652208288,0,0
2024-02-23,-0.0029492319547621,-0.0364625435827497,-0.07164521537702272,0,0
2024-02-26,-0.0005265844087851,-0.036426523593048606,-0.07159100350238769,0,0
2024-02-27,0.0024023067595626,-0.036391304819356436,-0.07154033144211329,0,0
2024-02-28,-0.005338814118831,-0.03623320446865241,-0.07128528618543575,0,0
2024-02-29,0.0085330090335213,-0.03616015371340259,-0.07107019617440727,0,0
2024-03-01,0.0149446854585706,-0.0361507637013034,-0.07103892166559508,0,0
2024-03-04,-0.0035745669848754,-0.03615661930957809,-0.07107295814210646,0,0
2024-03-05,-0.0181126274983167,-0.03609824030592966,-0.07098140026753098,0,0
2024-03-06,0.006264026225093,-0.03617993050227885,-0.07107521401746102,0,0
2024-03-07,0.0150640654192777,-0.036111346278243917,-0.07098035019318163,0,0
2024-03-08,-0.0145400983001797,-0.03604973080865275,-0.07091610576599322,0,0
2024-03-11,-0.0037196932121297,-0.03582351102285483,-0.07051806682439597,0,0
2024-03-12,0.0142331999286486,-0.03582031496608695,-0.07051360236693943,0,0
2024-03-13,-0.0077157099878961,-0.03571131605048976,-0.07026094176997698,0,0
2024-03-14,-0.0025244430503192,-0.03569422665218096,-0.0702341034540349,0,0
2024-03-15,-0.0119580524121483,-0.03559022562098358,-0.07006591869131255,0,0
2024-03-18,0.0094922206760852,-0.03553951060560026,-0.06998096944126467,0,0
2024-03-19,0.0024884967350642,-0.03545752613806656,-0.06978054467828051,0,0
2024-03-20,0.0117869377458594,-0.03533354515062531,-0.0694744762143907,0,0
2024-03-21,0.0047209565331058,-0.03533319460345786,-0.0694733263292761,0,0
2024-03-22,0.0011431563697783,-0.03530828026414778,-0.06939534700650783,0,0
2024-03-25,-0.003635696560031,-0.035298925142215665,-0.06938450424388813,0,0
2024-03-26,-0.0032429957255217,-0.035293287392667974,-0.06932987780447268,0,0
2024-03-27,0.0034002587976642,-0.03523949865401801,-0.06924610369159345,0,0
2024-03-28,-0.001845125014328,-0.03520803526797412,-0.06914959584330944,0,0
2024-04-01,0.0021149676214982,-0.035210585726830966,-0.06915266465447749,0,0
2024-04-02,-0.0086677973807365,-0.03520375176771989,-0.06911432287578945,0,0
2024-04-03,0.0022419091094221,-0.03522531108695738,-0.06910780756165803,0,0
2024-04-04,-0.0154087448991049,-0.03517942370209002,-0.06904345292590161,0,0
2024-04-05,0.0117150798801102,-0.03519795279335535,-0.06907407323015173,0,0
2024-04-08,0.0002950039740046,-0.035189416493590475,-0.06908313456572839,0,0
2024-04-09,0.0036926471316274,-0.0351690196884537,-0.06900539070696629,0,0
2024-04-10,-0.0087668334530812,-0.03503976761331716,-0.06880249061464848,0,0
2024-04-11,0.0158420935209306,-0.0349504843759125,-0.06865312131218759,0,0
2024-04-12,-0.0160702042236433,-0.03495902760788613,-0.06869523012103793,0,0
2024-04-15,-0.0165878018780709,-0.03497236742734124,-0.0687175052518881,0,0
2024-04-16,9.273389266617472e-05,-0.034911524183891054,-0.06861263649188341,0,0
2024-04-17,-0.0122763771678471,-0.034899570763482025,-0.06859747517651901,0,0
2024-04-18,-0.0057227000222281,-0.03492990641035506,-0.0685954956774089,0,0
2024-04-19,-0.0209062052214452,-0.03481660542687998,-0.06840722895259668,0,0
2024-04-22,0.01000651770127,-0.03492892464765468,-0.06858552612826224,0,0
2024-04-23,0.0148125550988975,-0.034895428131725144,-0.06849729658181543,0,0
2024-04-24,0.0033819957486125,-0.034833522930500835,-0.06843218889488355,0,0
2024-04-25,-0.0048415912087991,-0.0347169000315924,-0.0682504319485382,0,0
2024-04-26,0.0153138471107912,-0.03456643221523233,-0.06799770982492864,0,0
2024-04-29,0.0040521211121333,-0.03457188059594858,-0.068013160024857,0,0
2024-04-30,-0.01903627537797,-0.034255169968953274,-0.06747530448217022,0,0
2024-05-01,-0.0072567144223691,-0.03434948135665555,-0.06762569913697235,0,0
2024-05-02,0.0126824533284279,-0.034261086026679745,-0.06737354677509652,0,0
2024-05-03,0.0198992427487976,-0.03383019550583472,-0.06664341818285834,0,0
2024-05-06,0.0108938191793406,-0.03384185977351455,-0.06667249496779239,0,0
2024-05-07,0.0001589438749043,-0.03383863826234303,-0.06668476608311145,0,0
2024-05-08,-0.0005906102374932,-0.033738408878375294,-0.0664266302771942,0,0
2024-05-09,0.0021791495148235,-0.033206453859533566,-0.06548481111767732,0,0
